Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10,Link11,Link12
360,0,720,180,0,540,360,180,360,1080,1260,1440
180,360,540,720,180,0,540,360,180,360,720,900
540,180,180,360,720,180,0,720,360,180,360,360
360,360,540,540,360,360,180,720,900,360,1800,180
180,540,540,180,360,360,540,540,540,900,180,360
180,0,180,720,360,180,180,360,720,540,1080,540
1080,360,0,360,720,180,180,540,360,540,2340,1080
900,720,720,0,180,360,180,0,360,360,720,720
360,720,900,540,0,0,360,900,0,540,2160,360
720,360,720,540,540,0,0,360,900,0,360,540
360,540,900,1080,540,540,0,720,540,720,1620,540
900,360,360,540,1080,540,360,540,360,900,1800,0
540,720,360,540,720,360,540,180,720,180,1980,1260
180,720,900,360,360,360,360,720,180,720,540,1260
1080,360,540,1080,720,360,360,360,720,180,1800,360
720,540,720,180,720,180,360,900,540,720,1980,360
180,540,360,900,360,180,180,360,900,540,540,720
360,0,540,720,900,360,360,720,360,720,720,540
360,360,0,360,360,360,360,720,540,540,900,900
180,180,540,180,360,360,360,1080,900,540,540,720
1080,180,180,360,360,0,180,900,1080,900,900,720
180,900,180,360,360,360,0,360,540,900,1080,360
180,180,1440,180,180,180,360,180,360,720,1080,1440
540,0,180,1080,180,360,180,360,180,360,720,900
360,360,360,360,1080,0,360,360,360,180,540,900
360,360,180,180,360,900,0,180,360,360,360,180
180,360,540,180,360,0,900,1440,360,360,540,180
180,0,360,540,0,180,0,180,1080,360,720,180
900,360,0,720,540,0,180,1080,180,1080,360,900
180,720,720,0,540,540,0,360,900,180,1260,360
0,0,540,540,0,180,540,0,360,900,180,900
0,0,0,900,900,0,180,540,0,540,720,180
360,180,0,0,540,540,360,540,720,0,720,720
540,180,180,0,0,360,360,540,540,540,0,720
540,180,720,180,180,0,360,180,360,720,720,0
180,540,180,540,0,0,0,720,360,360,540,720
180,180,360,180,540,0,0,360,900,360,540,720
540,180,180,360,180,180,0,180,360,900,360,360
180,720,180,360,360,360,180,180,0,540,720,180
360,0,720,180,360,180,540,0,180,0,1080,720
720,540,0,540,360,360,0,1260,0,180,720,1080
180,360,720,180,360,360,360,540,1260,0,1260,360
540,180,360,360,180,360,360,360,540,1080,180,360
360,540,360,720,360,180,360,540,540,540,1620,180
0,180,540,180,720,180,180,1080,720,540,1080,1260
360,540,180,360,360,180,0,540,1080,540,1980,1260
720,0,720,180,180,180,180,360,180,1080,2520,360
360,360,360,720,180,180,180,180,360,360,1080,720
180,360,540,180,540,0,180,180,180,360,540,1080
540,180,180,540,360,180,0,180,360,180,720,540
360,360,180,360,360,360,180,360,0,360,540,180
180,180,900,180,360,180,360,0,360,0,360,360
360,180,180,720,180,0,180,540,0,360,0,360
720,360,180,180,720,0,0,1260,720,0,1800,0
0,900,540,360,180,720,0,720,1440,540,360,540
360,0,360,180,360,180,720,180,540,1800,360,360
180,180,180,720,360,0,180,180,180,180,1980,360
180,180,180,0,540,180,180,900,180,360,1800,2340
900,0,180,360,180,360,0,360,720,180,900,720
180,720,180,180,0,180,180,180,540,720,180,1080
180,0,900,180,360,0,360,720,0,540,540,0
360,180,180,720,540,180,0,360,720,180,1260,900
540,360,180,180,360,360,180,540,720,540,0,360
360,360,360,360,180,0,360,360,180,900,1620,180
720,360,720,360,360,0,0,720,360,0,900,540
0,540,180,540,360,180,0,0,720,540,1440,720
180,0,720,360,540,180,180,180,0,540,540,360
1080,180,0,180,360,360,180,360,180,180,720,900
0,540,360,540,360,180,540,180,360,180,540,540
0,0,900,0,360,540,0,900,180,360,1080,180
540,0,0,1440,180,180,540,720,900,180,1440,180
360,720,180,0,720,180,180,900,360,900,1620,720
180,180,900,180,180,180,180,900,1080,360,1080,540
0,180,0,540,180,360,180,360,1080,1260,1080,720
360,0,180,180,540,0,360,180,360,360,2160,720
0,180,180,180,180,0,0,360,180,540,900,720
180,0,180,180,180,180,0,720,360,720,1080,900
360,180,0,180,180,180,180,360,720,360,1080,900
180,180,360,0,180,180,180,180,360,720,1800,720
360,360,0,360,0,180,180,0,180,360,720,720
360,360,360,0,360,0,180,180,0,180,720,360
180,180,540,540,0,180,0,900,360,0,1080,180
0,180,360,180,360,0,180,540,360,360,720,900
540,0,180,540,360,180,0,180,720,360,900,540
0,180,180,180,0,540,180,360,360,360,720,540
360,0,360,180,540,0,540,180,180,540,180,360
360,180,180,360,180,180,0,720,180,360,1440,180
180,180,360,0,540,180,360,720,720,0,900,900
360,360,0,540,180,180,0,360,720,540,540,360
720,360,540,0,360,180,180,180,540,720,540,180
360,540,540,540,0,180,180,180,0,900,900,360
180,180,540,180,540,0,180,540,360,0,900,900
360,180,180,720,180,180,180,180,360,360,360,540
180,180,360,360,720,0,0,0,180,180,720,360
180,0,180,0,360,180,0,540,180,360,180,540
360,180,180,540,180,360,180,360,360,180,720,180
360,360,360,180,360,180,360,360,360,360,180,720
720,180,540,360,180,180,360,900,540,360,1080,0
180,360,540,0,360,180,180,540,540,180,360,360
720,180,360,720,0,180,540,360,720,900,540,360
0,360,540,360,1080,0,0,540,360,720,1080,180
360,0,360,720,180,720,180,540,540,360,720,1080
180,180,360,540,720,540,360,180,180,540,900,540
360,180,0,180,360,180,540,900,540,180,720,540
0,360,180,180,360,360,360,540,900,540,180,720
540,0,360,0,0,360,180,360,900,720,360,180
540,360,180,360,0,0,360,1080,180,900,1800,900
180,360,360,180,360,0,0,360,1080,0,720,900
180,180,360,540,180,360,0,720,540,1440,1620,720
540,0,180,180,540,360,360,0,540,720,1800,360
360,360,720,360,360,360,360,360,0,540,900,1080
180,360,360,900,180,0,360,720,540,0,540,540
540,0,180,360,540,0,0,720,540,360,180,360
540,180,360,540,720,540,180,360,720,720,1260,180
360,360,360,180,180,180,360,360,360,720,720,900
1080,360,360,540,180,180,360,360,360,360,720,1080
180,720,720,0,540,180,0,360,540,360,1620,360
0,180,540,360,0,360,360,900,180,540,1440,900
0,0,180,1260,540,0,180,540,900,180,900,360
720,0,0,0,900,180,0,720,540,900,1980,360
360,540,0,180,180,180,180,0,720,360,1800,540
540,360,720,0,180,0,0,180,0,720,720,1260
180,360,540,540,0,180,180,360,180,0,720,360
360,180,540,540,540,180,180,180,180,180,1080,1080
360,540,0,540,360,0,180,720,180,180,180,0
0,0,540,180,720,0,0,180,720,180,1440,360
180,0,180,540,180,180,180,540,360,540,180,180
0,180,0,180,540,0,0,180,360,540,540,360
0,0,180,0,180,0,0,180,180,360,2340,360
0,0,0,180,0,0,0,360,180,180,360,900
180,0,0,0,180,0,0,180,360,180,540,180
180,0,0,0,0,180,180,0,180,360,1980,540
0,180,180,0,0,0,0,0,0,180,1800,0
900,0,180,0,0,0,0,360,180,0,1080,540
540,180,720,180,0,0,0,180,180,180,720,360
180,360,540,540,180,0,0,180,180,180,1260,360
0,180,180,720,540,180,0,360,180,180,540,180
540,0,180,360,720,540,180,360,360,180,1440,360
0,360,0,180,540,360,540,540,360,180,360,360
720,0,540,0,0,360,360,0,360,540,1620,180
0,360,360,540,0,0,360,900,180,360,1980,180
540,0,360,0,360,0,0,720,900,0,720,540
180,180,360,720,180,180,0,540,720,1080,1260,720
180,180,360,180,720,0,180,540,360,720,1620,360
