Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10,Link11,Link12
86,72,60,76,0,0,78,50,0,82,11,67
83,39,63,67,80,0,0,51,64,0,68,77
79,77,71,65,69,77,0,65,76,76,1,76
82,70,67,81,74,76,72,64,67,67,44,0
79,60,73,72,93,90,83,59,71,74,20,68
78,60,75,67,74,86,87,63,65,78,44,58
85,79,72,72,79,70,76,57,76,83,28,70
64,76,74,89,75,89,68,69,76,91,18,68
86,70,70,78,74,79,92,64,79,86,20,72
90,0,61,77,77,80,80,62,77,87,32,74
81,42,0,68,75,82,89,55,76,92,59,75
129,18,73,53,69,77,87,59,71,84,74,67
82,83,71,80,79,0,88,72,72,73,77,73
92,72,64,69,81,89,0,63,80,98,51,76
97,89,56,83,71,81,95,59,76,79,58,71
88,0,74,67,101,89,86,48,71,88,53,73
65,42,73,69,70,0,96,55,66,74,29,75
86,64,56,83,66,76,0,65,74,78,36,70
86,80,55,83,81,0,79,58,81,83,61,74
92,0,71,45,0,86,0,51,74,95,58,74
93,78,0,67,68,0,92,53,63,83,87,68
86,63,71,0,65,68,0,56,67,78,19,89
0,0,76,71,0,74,70,0,74,80,65,67
0,0,0,72,61,0,88,58,0,75,16,74
96,95,0,0,77,88,71,55,77,0,41,68
90,64,91,0,0,67,90,63,76,95,0,63
87,83,61,102,109,0,89,81,70,89,69,0
81,75,76,78,0,0,0,54,86,76,50,67
77,70,68,74,79,0,0,63,64,102,43,57
83,60,68,78,69,84,0,88,92,76,40,70
88,80,60,68,85,67,96,45,0,88,50,70
86,0,71,61,68,74,71,0,60,0,39,82
92,71,0,78,80,74,0,56,0,74,42,62
80,76,71,56,76,87,77,59,69,0,9,65
73,74,67,75,67,82,92,69,70,78,72,61
79,67,60,62,78,71,91,64,83,74,36,78
0,63,62,70,74,71,84,57,77,93,48,64
94,79,61,80,72,47,0,58,74,78,7,56
75,0,60,58,79,81,79,66,72,83,16,74
80,64,65,62,53,64,121,77,77,72,57,70
121,64,67,74,75,0,74,52,79,88,36,71
86,89,60,73,81,64,0,94,88,83,126,69
83,86,79,65,76,79,69,58,0,99,37,61
84,70,65,78,64,89,85,0,69,0,81,66
87,78,69,75,89,0,86,65,0,79,0,65
81,79,81,64,69,0,0,56,73,0,19,0
0,60,72,78,73,75,0,67,76,82,69,62
93,0,57,89,92,67,83,64,73,83,78,73
74,70,74,63,88,0,77,81,67,70,48,70
53,64,69,0,60,96,110,58,89,78,24,59
88,0,59,68,92,63,0,54,72,102,60,60
54,84,81,61,0,89,72,72,84,77,81,63
103,0,73,83,60,0,79,63,0,98,55,0
81,83,50,86,91,74,0,54,74,11,71,70
73,70,66,51,85,95,85,66,74,93,0,72
97,65,66,60,52,0,93,77,48,82,15,74
82,95,63,67,71,0,0,66,90,0,56,78
0,64,84,68,77,84,0,0,77,78,13,74
30,0,58,72,75,77,71,43,0,98,46,74
89,1,0,74,88,80,82,63,74,70,87,64
0,72,64,60,80,77,87,48,70,89,37,69
0,0,58,0,68,74,0,56,76,86,23,63
87,0,0,70,81,53,76,51,68,78,25,55
95,93,121,0,82,95,72,57,81,81,7,67
64,67,71,110,50,74,86,60,67,89,44,65
0,53,0,76,142,93,88,69,61,79,85,65
77,0,60,60,75,0,88,79,69,86,36,77
0,61,69,64,63,0,0,79,78,53,45,66
79,0,60,74,62,60,0,57,91,57,92,62
88,67,0,67,79,67,64,56,77,101,45,63
74,89,73,0,61,74,73,46,62,83,7,68
62,61,0,72,0,72,70,0,58,76,33,74
69,59,60,0,77,0,64,46,0,78,52,70
85,58,64,59,0,71,0,55,75,0,53,74
0,83,50,61,64,0,61,57,71,78,46,67
82,0,75,55,67,79,0,54,57,70,59,64
0,74,99,67,0,64,82,52,70,61,0,81
82,0,62,83,56,0,74,49,70,76,0,66
73,61,69,66,88,77,0,55,62,76,0,78
81,78,67,0,89,99,104,54,69,0,26,54
74,67,0,71,91,77,0,38,65,85,7,65
80,74,62,0,69,84,85,99,80,71,50,83
86,68,62,72,0,65,91,59,0,79,43,73
55,83,68,64,67,0,69,63,82,0,53,68
91,56,74,71,67,76,88,64,72,102,106,60
81,70,59,67,66,0,0,0,81,78,12,81
89,0,71,0,71,64,0,57,97,79,0,72
62,83,67,65,89,74,78,66,70,102,31,64
79,56,78,70,67,89,83,47,89,78,96,73
95,61,58,76,74,79,44,53,62,99,27,0
71,72,82,0,67,81,74,56,75,95,40,64
87,64,64,69,0,84,100,56,71,75,76,57
0,70,76,75,69,0,0,40,70,78,52,74
90,0,58,74,72,93,107,58,75,73,31,65
60,67,79,70,78,80,83,49,78,91,26,67
78,61,0,89,77,86,96,57,62,83,50,76
0,63,55,74,83,78,79,60,62,71,0,66
84,0,61,0,0,84,77,66,73,78,42,78
57,71,67,61,0,0,93,65,67,74,20,72
84,69,65,64,58,0,0,56,79,0,33,62
77,45,59,74,73,62,0,58,74,72,1,68
94,0,38,78,73,77,80,0,73,80,43,74
94,86,71,67,78,73,88,59,0,82,55,67
95,86,77,68,51,0,77,62,73,0,46,58
80,0,79,64,86,0,0,58,73,84,1,65
79,74,71,85,63,83,84,61,71,81,57,82
69,86,75,74,88,74,92,70,75,78,59,67
80,56,60,76,81,83,98,72,91,86,48,53
88,68,55,0,75,86,0,68,83,106,7,59
0,61,54,62,0,83,87,66,81,85,35,71
0,0,59,59,57,0,96,59,75,95,11,67
81,0,0,0,63,70,0,58,75,83,28,76
72,82,0,64,60,70,81,0,70,92,30,76
75,64,68,0,72,0,0,55,0,79,47,74
115,64,58,74,0,72,60,52,70,0,33,62
82,102,70,66,82,92,81,53,60,74,0,57
97,76,0,72,59,0,84,55,68,70,46,0
0,0,71,58,68,0,0,45,63,73,7,56
91,0,68,73,69,95,96,65,74,69,70,61
0,83,0,70,76,0,0,69,73,74,22,70
0,0,68,0,71,0,0,79,82,82,25,69
0,0,0,70,0,0,0,55,95,83,84,58
62,0,0,0,80,0,0,65,73,120,37,58
48,0,0,0,0,86,89,0,80,91,29,77
0,48,60,0,0,0,0,0,0,110,21,0
83,0,47,0,0,0,0,59,86,0,13,80
77,66,74,53,0,0,0,59,80,89,13,71
97,65,62,68,60,0,0,53,79,95,10,76
0,83,63,71,81,61,0,47,65,89,42,70
73,0,79,65,69,85,68,64,60,74,28,62
0,64,0,78,72,69,97,57,77,89,30,71
75,0,58,0,0,85,89,0,75,76,2,67
0,72,68,63,0,0,97,60,72,86,0,74
84,0,64,0,70,0,0,62,73,0,62,59
100,83,73,73,65,69,0,63,81,78,27,81
59,83,67,78,78,0,72,62,68,88,30,74
80,0,0,83,89,74,0,55,71,70,17,76
79,64,82,61,84,92,75,60,63,78,21,66
0,76,59,89,61,0,92,78,70,76,40,62
90,0,58,58,106,88,0,65,85,70,13,63
0,81,0,65,108,74,78,57,74,99,20,64
79,78,81,0,69,65,71,66,73,81,16,65
91,75,76,73,0,0,72,58,81,83,66,68
68,0,74,72,68,0,0,66,67,93,10,69
78,64,52,75,70,0,0,65,81,0,22,74
94,73,63,0,77,0,0,55,78,86,81,79
92,0,64,62,0,81,0,67,72,95,32,95
89,86,92,84,63,0,78,0,81,81,0,65
79,78,67,76,66,79,0,78,0,74,26,78
93,79,72,70,69,96,91,63,78,0,21,75
83,0,68,72,77,0,0,49,70,89,0,46
0,76,73,69,77,77,0,60,63,83,17,0
88,0,71,95,75,79,72,66,74,82,13,76
101,74,0,76,78,78,86,56,80,86,19,67
96,89,74,0,78,0,80,61,76,80,31,72
0,0,86,74,0,0,0,58,77,86,13,75
73,0,0,86,65,0,0,62,77,81,57,56
99,68,0,0,79,0,0,50,71,81,46,59
73,86,59,0,0,86,95,55,67,81,42,68
108,90,75,70,0,0,0,0,78,76,32,79
110,92,76,76,83,0,0,73,0,88,14,68
89,81,87,89,83,91,0,0,82,0,5,61
81,71,67,90,105,81,83,56,0,91,18,74
0,74,81,76,68,111,110,59,83,0,23,79
0,0,66,81,72,77,116,56,66,85,0,74
65,0,0,67,84,0,85,69,75,88,0,78
88,72,0,0,62,94,0,59,105,72,20,78
92,63,65,0,0,0,95,71,78,120,24,67
73,89,70,64,0,0,0,71,74,89,0,70
86,63,0,70,68,0,0,78,84,78,15,62
0,76,51,0,70,74,0,56,90,86,24,72
0,0,57,83,0,84,93,0,77,83,36,0
0,0,0,62,86,0,101,0,0,89,47,74
77,0,0,0,63,65,0,51,0,0,23,61
89,68,0,0,0,64,100,62,81,0,10,67
88,69,63,0,0,64,80,65,0,86,0,0
85,106,0,71,0,0,72,72,75,0,33,0
0,78,72,68,78,0,0,52,83,85,0,74
88,0,0,67,75,81,0,49,65,82,16,70
0,90,71,67,78,67,87,59,55,67,11,75
79,0,0,83,0,79,81,66,80,70,7,73
79,70,64,89,81,0,86,61,0,96,1,64
105,69,0,0,0,85,0,58,72,0,33,0
0,83,65,68,0,0,105,62,80,84,1,65
0,49,0,74,87,81,0,58,75,78,28,64
65,0,54,78,85,84,81,70,71,81,11,70
43,57,0,0,0,86,87,46,0,80,40,64
77,55,53,58,0,0,92,60,63,0,16,60
77,55,61,0,0,0,0,62,81,78,11,56
77,76,66,60,0,0,0,58,80,89,16,78
82,68,47,53,65,0,0,45,73,89,30,79
92,85,73,67,60,68,0,53,55,89,43,79
82,0,82,60,70,0,78,44,78,0,6,67
69,72,64,90,77,0,66,13,69,75,8,0
0,68,67,0,60,77,0,55,0,78,47,89
77,61,67,65,0,89,95,58,72,0,22,58
107,72,0,83,66,0,0,137,67,89,25,73
91,0,72,55,74,0,0,68,74,74,40,78
100,74,0,70,58,0,0,0,53,81,23,58
0,74,73,0,80,0,0,0,0,82,14,71
81,89,0,78,0,79,0,68,0,0,39,68
78,72,75,78,80,0,84,0,78,0,0,69
104,74,73,83,82,0,0,71,105,95,0,0
107,0,64,74,80,64,0,63,75,110,0,89
0,94,92,72,71,79,66,57,82,76,4,95
0,0,0,88,72,0,80,49,73,65,1,0
74,0,0,0,97,79,0,54,69,67,68,71
0,75,78,0,0,96,85,56,68,81,16,82
0,64,61,0,0,0,0,68,78,83,42,59
0,0,0,68,0,0,0,67,0,90,37,68
85,0,0,58,75,70,0,68,77,0,28,68
81,76,0,0,62,0,91,63,84,89,20,66
0,69,62,0,0,0,0,55,76,95,23,76
86,0,69,68,0,0,0,61,71,76,28,66
89,84,76,74,78,0,0,0,67,80,38,74
102,78,74,64,76,86,0,0,0,83,11,70
94,84,99,82,81,0,92,0,0,74,29,56
0,74,68,76,97,79,88,62,0,0,34,73
65,0,0,63,83,84,79,0,72,0,20,67
71,62,78,78,67,99,101,51,0,86,6,0
61,66,53,0,0,72,81,58,70,0,36,0
86,62,0,78,79,0,83,78,75,89,47,50
0,0,61,55,0,0,0,56,0,89,7,0
0,0,0,78,46,0,0,65,72,0,21,74
64,0,0,54,82,110,0,52,75,81,0,66
0,56,0,0,60,81,79,0,72,92,15,0
74,0,53,0,0,62,62,58,0,83,10,69
75,72,0,0,0,0,57,58,74,0,0,64
0,73,65,56,0,0,0,61,70,78,5,64
93,0,70,67,62,0,0,44,0,78,26,46
68,76,81,74,86,64,0,53,52,0,27,66
0,64,64,60,72,74,62,54,66,58,12,75
72,0,60,83,57,69,76,55,79,78,27,56
69,73,74,0,66,0,84,0,73,83,26,64
91,58,0,58,0,86,113,59,80,78,14,57
74,78,63,74,67,0,0,55,68,95,14,74
91,80,72,64,81,57,0,78,73,83,8,68
0,75,70,69,72,0,85,0,101,73,22,78
0,0,61,85,78,0,0,69,74,102,19,68
76,0,0,65,80,71,0,74,0,0,21,63
0,72,0,0,69,78,82,58,90,86,0,78
0,0,67,0,0,79,87,62,67,95,10,78
91,0,0,67,0,0,86,66,78,83,8,74
87,74,0,0,80,0,0,56,84,95,28,0
83,81,65,0,0,0,0,61,66,89,13,78
99,95,75,67,0,0,0,52,79,70,36,79
78,89,82,86,90,0,0,71,69,83,20,68
89,0,73,89,82,86,0,56,0,89,24,70
0,83,74,89,86,79,103,49,77,63,28,63
98,89,0,78,81,0,78,71,62,95,15,76
52,75,83,0,84,70,0,82,88,78,59,0
76,62,67,89,104,0,103,0,86,92,22,61
85,60,51,67,105,0,0,53,0,98,27,73
0,63,63,0,69,0,0,71,73,0,79,74
108,0,71,51,0,67,0,0,0,79,0,58
69,89,86,74,59,0,74,55,0,0,15,0
81,74,0,89,63,0,0,59,83,0,0,61
0,63,63,0,84,0,0,84,65,92,9,0
78,0,64,71,0,0,0,59,89,0,18,70
81,64,0,61,68,0,0,59,80,77,0,78
87,74,62,0,70,0,0,47,80,83,2,74
73,80,99,61,0,0,0,0,69,95,0,72
0,66,67,95,72,0,0,0,0,85,16,65
72,0,59,67,84,84,0,62,0,70,25,0
104,67,0,70,74,92,104,0,85,0,14,76
78,104,73,61,77,74,0,0,0,98,24,58
0,79,91,78,73,71,74,73,102,0,80,70
89,0,69,89,95,65,77,0,77,95,8,0
88,67,59,78,0,91,94,54,0,83,30,67
81,78,0,64,91,0,88,54,62,0,69,79
83,76,69,78,64,86,89,73,66,74,0,74
0,66,70,70,73,0,0,53,87,101,42,110
74,0,67,89,79,72,97,67,69,74,41,66
81,73,0,74,81,79,0,54,73,74,11,78
105,78,71,0,74,74,98,50,68,83,0,57
0,83,72,78,0,74,83,57,61,80,0,70
83,0,0,73,93,0,89,66,73,0,25,80
103,66,60,0,85,89,0,52,87,77,0,65
0,0,70,0,0,0,79,67,75,95,9,58
94,95,0,73,0,0,0,59,68,80,8,62
81,0,82,0,73,0,0,67,63,83,18,63
82,63,0,83,0,67,0,62,86,0,17,70
86,70,56,0,92,0,82,0,83,87,12,70
89,78,71,0,0,0,0,49,0,86,24,72
108,83,68,68,0,0,0,62,68,0,0,74
96,85,0,83,82,0,0,0,74,66,30,74
71,85,77,0,96,74,0,0,0,83,0,74
101,75,85,76,0,96,80,53,0,0,0,69
106,0,60,86,89,0,99,0,73,0,2,68
103,90,0,83,99,102,0,54,77,83,13,0
0,0,85,56,72,0,82,66,67,89,26,92
93,0,0,89,56,0,0,0,76,71,20,0
65,78,63,0,95,99,0,68,0,78,41,70
77,67,0,0,0,89,84,0,82,0,15,67
0,64,65,74,0,0,0,0,0,95,1,70
75,0,62,67,76,0,0,56,0,0,2,94
78,81,85,70,76,0,0,0,70,0,24,0
0,59,76,83,68,81,0,58,77,82,8,0
82,0,61,78,80,69,79,55,0,102,42,75
0,61,0,78,81,0,72,0,68,0,0,0
72,0,64,56,0,91,79,49,0,95,0,69
86,83,0,64,67,0,109,53,74,0,34,0
0,64,70,0,68,0,0,71,65,83,0,78
81,0,65,78,0,0,0,65,74,0,79,0
95,73,0,68,81,0,0,54,0,80,0,73
87,91,67,0,70,77,0,0,69,0,0,70
86,70,66,71,0,82,99,60,110,69,0,69
95,81,69,71,76,0,69,77,62,8,7,76
0,61,73,65,83,78,0,66,95,67,0,81
75,0,0,74,74,68,82,54,84,95,3,53
86,61,0,58,84,86,81,55,57,83,4,70
72,75,50,0,71,0,88,66,61,64,10,73
0,66,70,56,0,81,0,58,85,70,0,68
92,0,59,65,57,0,77,57,71,86,3,64
0,74,0,65,66,0,0,0,0,93,25,59
64,71,65,0,56,66,0,60,0,78,45,64
0,43,74,74,0,0,86,0,59,0,24,71
0,0,0,70,77,57,0,56,0,76,12,70
98,0,45,0,77,79,76,48,74,0,75,65
92,81,84,42,0,79,0,64,67,82,76,64
82,74,82,95,0,0,85,53,82,72,64,83
0,70,74,80,79,0,0,62,76,90,31,53
87,0,61,74,0,111,101,55,67,78,84,63
105,83,0,0,73,0,0,55,72,73,23,74
76,0,71,70,69,0,0,88,77,78,27,78
84,71,0,78,0,0,0,0,0,85,74,66
0,69,65,0,88,65,0,0,0,0,40,90
0,0,0,64,0,0,65,59,0,1,1,58
113,78,0,67,79,0,0,0,71,0,37,0
68,0,71,0,54,80,0,60,0,83,0,0
90,67,0,78,0,0,85,0,71,0,0,78
73,71,59,0,81,0,0,72,97,78,14,0
68,70,69,58,0,0,0,63,0,109,29,70
0,62,63,73,0,0,0,70,77,0,0,64
89,0,0,69,69,0,0,50,76,91,12,73
80,64,0,67,75,72,0,47,71,82,54,70
81,69,69,0,70,0,80,62,61,89,43,62
0,75,68,74,0,70,0,57,66,70,24,63
0,0,68,62,88,0,69,61,69,83,46,64
71,0,0,53,66,85,101,0,70,78,24,64
74,79,72,0,72,68,109,61,0,78,0,65
0,69,0,0,0,72,79,74,67,0,0,74
0,0,67,83,89,0,77,80,86,82,17,67
0,0,0,72,0,0,0,52,0,88,0,89
80,0,0,0,74,79,0,46,66,0,4,69
82,66,0,0,0,59,79,48,60,74,57,74
0,58,64,0,0,0,0,47,65,68,40,0
89,0,62,66,0,0,59,68,58,70,20,72
0,73,0,74,73,0,0,45,76,74,9,64
76,0,78,0,65,72,81,56,61,89,15,66
85,70,0,78,0,0,74,0,61,70,10,53
0,77,66,0,80,0,0,58,0,58,15,83
76,0,67,70,0,78,0,56,81,0,18,64
97,70,67,78,68,0,81,53,64,92,0,0
0,96,81,0,77,0,0,0,65,76,16,46
89,0,0,76,0,80,84,60,0,69,40,76
74,74,0,0,76,79,85,74,80,0,28,69
0,67,64,0,0,0,82,55,94,86,3,50
96,0,61,61,0,0,0,59,65,110,24,65
92,74,0,70,92,0,0,46,78,78,7,70
0,70,65,0,69,77,0,48,71,80,0,81
72,0,0,70,0,67,82,0,70,78,0,70
0,65,0,70,72,0,73,0,0,78,12,76
47,48,61,0,74,0,0,50,74,0,12,71
69,0,64,73,0,65,0,60,70,0,6,58
79,71,47,70,76,0,84,55,69,92,0,0
0,65,69,0,63,76,85,72,72,88,24,74
89,0,55,72,0,0,75,59,89,89,32,64
92,78,0,61,69,0,0,71,69,102,32,69
99,86,75,70,74,79,105,66,80,83,2,78
92,80,0,80,61,68,85,0,73,90,12,0
84,0,77,0,81,0,68,68,0,80,17,65
0,75,74,81,0,83,0,41,82,0,44,78
74,0,66,0,85,0,84,58,61,83,4,66
97,70,0,67,0,92,94,54,73,70,12,83
66,82,73,67,85,0,0,52,79,72,18,0
86,78,80,66,72,0,0,72,54,83,38,61
0,80,69,80,71,62,74,0,86,61,38,65
0,0,72,74,83,73,72,52,0,70,28,71
0,0,0,76,80,0,85,60,68,0,0,57
80,0,0,0,78,81,0,51,70,58,21,53
85,63,0,0,0,0,83,58,70,83,20,70
0,70,62,0,0,0,0,58,64,80,57,66
54,0,59,61,0,0,0,63,75,75,50,74
109,51,0,66,53,0,0,47,81,75,27,75
97,78,43,0,76,65,0,58,69,83,31,73
98,78,77,0,0,84,82,0,62,81,15,70
82,88,33,74,0,0,78,58,0,64,29,43
0,74,83,74,73,0,0,49,79,0,15,52
73,0,64,74,60,0,0,52,71,89,5,95
90,83,0,58,86,89,0,0,62,76,20,0
68,65,82,0,73,0,97,52,61,68,25,48
81,61,60,89,101,74,0,47,65,0,49,73
0,60,62,78,0,106,67,88,66,70,20,64
0,0,65,62,83,76,101,53,0,74,30,58
89,0,0,56,77,0,81,77,72,0,20,70
93,72,76,0,66,77,0,0,86,99,54,68
67,86,77,0,40,71,74,59,0,70,27,52
102,61,72,71,0,0,70,0,64,0,32,75
63,75,70,78,76,0,0,56,0,86,0,0
85,62,70,79,88,84,0,59,65,0,52,58
89,59,60,55,86,84,83,58,73,102,0,68
95,89,61,70,62,78,89,0,64,70,42,43
84,0,92,73,71,79,62,60,74,83,54,78
77,58,72,64,70,72,76,60,86,84,55,59
104,65,70,0,65,0,86,63,77,101,60,62
85,89,75,81,0,92,83,57,80,95,31,80
0,89,82,72,70,46,0,57,73,94,24,0
84,0,0,95,91,68,0,0,68,75,58,77
100,74,0,59,88,87,68,0,85,76,4,69
107,86,70,0,79,0,79,0,0,94,121,68
0,83,74,81,0,77,0,72,0,0,31,69
82,0,0,78,89,0,79,52,77,0,58,89
0,74,0,78,85,86,0,70,73,83,0,67
0,0,69,0,0,81,89,61,67,93,37,95
0,0,0,70,0,0,90,60,74,68,44,83
0,0,0,0,63,0,0,48,84,64,44,78
0,0,0,0,0,0,0,65,62,89,18,68
94,0,0,0,0,0,0,0,79,64,73,62
99,82,77,0,0,0,0,58,0,89,48,78
89,85,71,89,0,0,0,54,86,0,36,58
72,64,94,72,92,0,0,0,67,92,0,64
65,67,65,95,73,90,103,0,0,81,91,86
0,0,62,0,89,68,114,72,0,0,42,89
97,64,0,53,0,0,76,77,85,0,0,78
94,65,60,0,46,0,0,69,92,95,0,56
117,79,58,60,0,0,0,0,80,97,37,95
90,72,83,52,59,0,0,51,0,102,9,81
93,78,71,89,60,47,0,0,61,0,8,89
0,58,68,70,75,0,81,0,0,73,41,0
91,66,65,74,88,81,101,0,0,0,0,0
68,89,0,74,74,84,0,0,0,0,0,53
85,66,68,0,90,76,73,67,0,0,72,0
62,70,71,64,0,88,91,0,76,0,0,74
0,60,62,78,78,0,87,67,0,84,0,0
79,0,0,64,82,76,91,68,78,0,38,89
0,72,52,0,69,0,81,69,64,91,0,64
0,0,67,56,0,60,0,62,0,94,59,74
104,0,0,70,33,0,63,60,82,0,57,86
99,96,0,0,67,0,0,78,61,102,0,73
87,74,77,89,0,0,0,0,88,78,53,66
0,78,77,0,85,0,0,53,0,95,56,78
0,0,93,70,0,86,0,0,64,0,39,70
93,0,0,83,65,0,92,0,0,75,0,70
89,83,0,0,82,81,0,63,0,0,44,70
76,85,76,0,0,0,79,73,71,0,60,0
65,73,65,78,84,0,0,0,0,78,49,56
57,89,58,83,0,0,0,0,0,0,51,59
