"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
"68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149","68.149"
