"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"4.1416","4.3852","4.3578","4.038","3.6074","3.1394","2.605","5.4669","6.1494","5.9374","6.4942","8.091"
"4.0218","4.1296","4.2962","4.2423","3.966","3.0925","3.0103","5.1791","5.6325","5.9063","7.0995","9.737"
"4.564","4.201","4.1821","4.2351","4.1528","3.1608","2.9833","5.6422","5.3454","5.6067","6.2306","9.8943"
"4.8005","4.5769","4.3099","4.2225","4.1962","4.4584","3.439","6.0044","5.8134","5.5682","6.31","9.4275"
"5.6309","4.8116","4.5342","4.3513","4.2461","5.68","4.5435","5.796","5.7676","5.7347","6.7858","9.7701"
"5.8508","5.6916","4.9958","4.5788","4.3726","4.6203","5.208","6.4998","6.0053","5.7987","6.6903","9.9831"
"5.4082","5.4267","5.404","5.0166","4.6364","3.5989","4.2261","6.1338","6.3444","6.0665","6.7595","10.032"
"4.9245","5.5564","5.4696","5.2807","4.9784","4.6695","4.1974","6.4026","6.0441","6.1469","7.2062","10.253"
"3.9235","4.5714","5.2552","5.3888","5.2232","5.3528","4.6907","7.9449","6.8675","6.2732","7.1431","10.738"
"5.1136","4.5209","4.716","5.1165","5.2694","5.7871","5.3162","7.3443","7.5439","6.9292","6.7594","10.458"
"5.5725","5.1276","4.7718","4.836","5.068","5.6368","5.5838","6.8848","7.078","7.2093","7.5343","10.476"
"4.8803","5.2763","5.0943","4.896","4.917","5.1873","5.518","7.4586","7.2109","7.1291","8.4522","11.523"
"3.4759","4.617","5.0582","5.0483","4.9565","4.4683","5.085","7.2346","7.3092","7.2309","8.2462","12.319"
"2.3601","3.4669","4.4271","4.8971","4.9969","3.9908","4.5059","6.3922","7.0862","7.2454","8.3934","12.192"
"2.7765","2.7319","3.5193","4.3131","4.7763","3.0684","3.9873","6.0401","6.3646","6.9162","9.3176","12.977"
"2.8039","2.9815","3.0721","3.613","4.2516","3.221","3.1696","6.2821","6.3286","6.5178","8.5505","13.496"
"2.8786","2.6287","2.9036","3.2231","3.7003","3.7629","3.6055","5.9474","6.1592","6.3565","7.1672","12.324"
"3.6888","3.2416","2.8776","2.9665","3.3006","3.2037","3.419","6.471","6.11","6.1834","6.8459","11.055"
"4.6156","3.5526","3.1958","3.0099","3.0771","3.7946","3.4381","6.9344","6.5674","6.2655","6.9957","10.616"
"5.7687","4.8752","3.813","3.2716","3.0952","4.3235","3.8625","6.6153","6.7297","6.5396","6.9192","10.548"
"4.6308","5.1058","4.662","3.9117","3.3866","3.8931","4.1359","7.1719","6.6828","6.6263","7.2415","10.443"
"3.1238","4.4103","4.787","4.4856","3.9258","3.1224","3.6757","6.9481","7.2042","6.8406","7.5107","11.006"
"2.7219","3.2107","4.1526","4.5332","4.3446","3.597","3.3666","6.1396","6.5506","6.9136","7.1373","10.962"
"4.3842","3.3817","3.4976","4.0455","4.3371","4.9664","3.9103","6.359","6.4989","6.6312","6.8917","10.69"
"4.5226","4.3001","3.7245","3.7066","4.0145","5.2271","4.8459","5.8495","6.1837","6.4672","8.0127","10.681"
"4.6353","4.2237","4.0903","3.858","3.8417","4.5048","4.8205","7.7713","6.2854","6.225","9.3005","12.435"
"4.6591","4.8182","4.3629","4.067","3.9141","4.8382","4.6422","9.2276","8.0565","6.7841","8.5885","13.166"
"2.7664","4.0338","4.5018","4.3532","4.1032","5.2264","4.9669","6.8426","8.2186","7.81","8.3318","12.742"
"2.6495","3.0543","3.8592","4.2835","4.2787","4.3359","4.9552","6.1501","6.7476","7.6213","8.8662","12.796"
"2.71","2.9154","3.2679","3.8005","4.1463","3.8251","4.2386","7.1051","6.8337","7.0052","8.9914","13.256"
"2.0971","2.5604","2.9483","3.3561","3.778","4.1134","4.1231","6.0523","6.7444","6.9192","8.2897","13.195"
"3.4857","2.4394","2.5879","2.9761","3.3868","3.6713","4.0014","5.3035","5.9719","6.5791","7.8475","12.326"
"5.5969","3.9375","2.8883","2.7416","3.0224","3.7143","3.7118","6.8554","5.788","6.0405","7.7432","12.035"
"6.005","5.1737","3.9951","3.1578","2.9222","2.8658","3.6794","7.9096","7.1275","6.2658","6.9387","11.395"
"5.0791","5.5974","4.9628","4.0216","3.3271","2.0665","2.6408","7.2576","7.2927","6.9422","7.2606","10.697"
"5.0929","4.9464","5.1718","4.76","4.0306","3.8368","2.7649","6.627","7.2544","7.1821","8.8345","11.492"
"7.7981","5.8566","5.1903","4.9922","4.5975","5.2315","3.984","5.9998","6.4637","6.9994","10.067","13.322"
"7.8119","7.5047","6.1874","5.3707","4.9376","5.6264","4.9347","6.1325","6.3251","6.5788","9.4436","14.431"
"4.7993","6.782","6.973","6.2206","5.4716","6.1717","5.5132","5.8185","6.0105","6.3257","9.1405","13.799"
"5.213","5.1552","6.2771","6.5761","6.1268","5.4116","5.9571","6.55","6.0714","6.0998","9.5948","14.166"
"8.473","6.3116","5.7508","6.1314","6.3038","4.3976","5.0327","8.0895","6.7664","6.2459","8.5334","13.892"
"8.3101","7.988","6.7047","6.1123","6.1312","5.739","4.9988","9.5873","8.1794","6.9994","8.0673","12.784"
"5.2872","7.324","7.4852","6.8087","6.3141","6.9914","5.8935","9.244","9.1566","8.1326","9.4065","12.797"
"3.7815","5.2878","6.7582","7.1177","6.7854","7.9716","6.9186","9.3595","9.0044","8.7644","10.61","14.402"
"5.281","4.6269","5.4769","6.4728","6.8517","7.1855","7.6078","9.7587","9.6102","9.0939","10.377","15.323"
"5.9972","5.5241","5.177","5.6544","6.3338","5.9358","6.7329","8.2833","9.2126","9.3812","10.24","15.376"
"5.5088","5.5541","5.4561","5.4382","5.7912","6.9823","6.4618","8.7713","8.5302","9.016","10.177","15.361"
"5.4417","5.6054","5.5342","5.4733","5.5677","6.9725","7.02","11.961","9.5459","8.8816","9.635","15.107"
"6.3841","5.5208","5.517","5.5201","5.5226","6.306","6.6261","12.04","11.702","10.04","9.9456","14.593"
"7.5425","6.7142","5.8557","5.5659","5.523","7.1817","6.6606","9.8252","10.919","11.011","12.365","15.771"
"6.673","6.9458","6.5586","5.99","5.6586","7.1028","7.1316","11.812","10.63","10.744","13.261","18.417"
"6.641","6.7026","6.732","6.4417","6.0259","6.4202","6.8139","12.802","12.037","11.087","11.959","18.742"
"7.2133","6.8151","6.7208","6.6242","6.366","6.1984","6.5405","12.201","12.176","11.812","12.969","18.294"
"7.1936","7.1747","6.9042","6.7292","6.5635","6.2923","6.2353","12.016","12.298","12.092","13.884","19.917"
"7.8857","7.1727","7.0591","6.9058","6.7251","7.0624","6.5388","10.179","11.6","12.082","12.739","19.892"
"9.1745","8.2091","7.4141","7.072","6.8869","7.6029","7.0354","9.5884","10.278","11.344","12.926","19.302"
"8.9833","8.7743","8.1515","7.5243","7.1259","8.1099","7.5747","10.297","10.111","10.536","13.36","19.671"
"8.3847","8.8017","8.5998","8.0917","7.5626","8.3786","8.0258","11.514","10.441","10.317","12.364","19.637"
"6.746","8.097","8.5711","8.4514","8.0372","8.0321","8.2191","13.623","11.841","10.771","11.103","18.209"
"5.2328","6.6663","7.8431","8.3537","8.3132","7.42","7.8691","14.635","13.388","11.963","12.817","17.535"
"6.0459","5.754","6.7129","7.6775","8.165","8.0611","7.6427","13.214","14.025","13.191","14.814","20.002"
"8.1756","6.6581","6.2756","6.8389","7.5775","8.3167","8.1852","11.708","12.77","13.4","14.216","21.184"
